CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread: 15,  step:  5000,     T:  0.0,    Energy: 185.525223 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 184.503235 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 180.920074 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 166.245193 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 160.273773 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 178.735535 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 161.068390 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 182.698914 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 189.731506 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 166.576538 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 180.697678 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 197.201797 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 179.697922 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 170.227463 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 184.662552 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 169.502808 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 156.960129 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 169.005676 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 145.558426 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 152.104538 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 175.934753 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 171.142792 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 180.722946 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 170.331451 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 163.724991 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 188.371735 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 167.241272 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 181.703064 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 159.970032 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 187.672028 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 164.144058 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 172.504837 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 174.357025 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 198.445694 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 162.261810 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 179.761765 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 163.058548 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 233.301636 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 182.224823 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 182.653870 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 147.773087 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 175.137512 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 168.422653 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 187.512207 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 162.327789 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 177.178360 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 183.497849 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 163.024078 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 174.260223 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 158.056213 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 173.264404 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 192.610275 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 173.996750 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 193.946426 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 151.495148 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 195.693054 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 211.709808 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 185.743469 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 197.392487 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 173.957962 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 180.458939 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 175.261871 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 161.065430 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 152.616226 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 164.609436 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 162.444199 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 180.861160 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 167.003586 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 158.302338 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 189.193710 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 165.314011 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 162.207520 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 154.554901 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 175.246933 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 178.155670 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 183.078293 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 162.650452 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 168.046310 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 198.618744 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 169.518005 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 173.236313 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 158.310364 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 161.788391 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 170.979752 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 184.161331 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 164.128632 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 177.350922 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 171.582352 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 166.359238 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 169.115356 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 158.142426 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 175.591263 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 162.576569 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 178.248550 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 175.101944 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 188.201263 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 161.639420 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 165.806992 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 185.771652 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 172.095154 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 160.802353 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 189.872543 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 161.731216 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 151.196304 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 160.891617 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 202.912292 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 160.596542 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 172.082748 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 198.951935 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 149.553726 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 168.452179 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 177.743286 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 149.912888 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 163.548798 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 146.687271 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 157.273544 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 170.369690 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 161.398087 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 185.851028 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 161.909164 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 166.969620 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 161.657806 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 195.034088 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 207.060730 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 173.904602 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 154.731506 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 158.522156 kcal/mol
